Offset-Description       Player:                       Enemy 1:                      Enemy: 2
0128 - 4 Bytes           E56C588 : 1065353216          FDD4238 : 1                   FD49B18 : 1                   
012C - 4 Bytes (Hex)     E56C58C : 00000101            FDD423C : 00C50000            FD49B1C : 006D0000            
0130 - String            E56C590 : P£5                FDD4240 : @-lG                FD49B20 : @-lG                
0134 - 4 Bytes           E56C594 : 0                   FDD4244 : 1                   FD49B24 : 1                   
0138 - 4 Bytes           E56C598 : 1                   FDD4248 : 1                   FD49B28 : 1                   
013C - 4 Bytes           E56C59C : 7733248             FDD424C : 2                   FD49B2C : 2                   
0140 - Pointer           E56C5A0 : P->00000001         FDD4250 : P->10DACC10         FD49B30 : P->106DA800         
0148 - Pointer           E56C5A8 : P->10140400000      FDD4258 : P->10DACC70         FD49B38 : P->106DA860         
0150 - Pointer           E56C5B0 : P->1335A350         FDD4260 : P->13A76398         FD49B40 : P->13A76398         
0158 - 4 Bytes           E56C5B8 : 1                   FDD4268 : 1                   FD49B48 : 1                   
015C - 4 Bytes (Hex)     E56C5BC : 00780000            FDD426C : 00C80000            FD49B4C : 00700000            
0160 - Pointer           E56C5C0 : P->00000001         FDD4270 : P->0FDD4280         FD49B50 : P->0FD49B60         
0168 - 4 Bytes           E56C5C8 : 1065353216          FDD4278 : 0                   FD49B58 : 0                   
016C - 4 Bytes           E56C5CC : 257                 FDD427C : 0                   FD49B5C : 0                   
0170 - Pointer           E56C5D0 : P->139D8670         FDD4280 : P->1375FCF0         FD49B60 : P->1375FCF0         
0178 - 4 Bytes           E56C5D8 : 4294967295          FDD4288 : 1                   FD49B68 : 1                   
017C - 4 Bytes (Hex)     E56C5DC : 007A0000            FDD428C : 00CA0000            FD49B6C : 00720000            
0180 - Byte              E56C5E0 : 0                   FDD4290 : 144                 FD49B70 : 144                 
0181 - Byte              E56C5E1 : 0                   FDD4291 : 55                  FD49B71 : 55                  
0182 - Byte              E56C5E2 : 0                   FDD4292 : 113                 FD49B72 : 113                 
0183 - Byte              E56C5E3 : 0                   FDD4293 : 71                  FD49B73 : 71                  
0184 - 4 Bytes           E56C5E4 : 0                   FDD4294 : 1                   FD49B74 : 1                   
0188 - 4 Bytes           E56C5E8 : 1120403456          FDD4298 : 1                   FD49B78 : 1                   
018C - 4 Bytes           E56C5EC : 0                   FDD429C : 4                   FD49B7C : 4                   
0190 - 4 Bytes           E56C5F0 : 329090672           FDD42A0 : 0                   FD49B80 : 0                   
0194 - 4 Bytes           E56C5F4 : 0                   FDD42A4 : 0                   FD49B84 : 0                   
