Offset-Description       Player:                       Enemy 1:                      Enemy: 2
04EC - 4 Bytes (Hex)     E56C94C : 00B10000            FDD45FC : 00000000            FD49EDC : 00A90000            
04F0 - Pointer           E56C950 : P->00000000         FDD4600 : P->00000004         FD49EE0 : P->63004100000006   
04F8 - 4 Bytes           E56C958 : 0                   FDD4608 : 545259520           FD49EE8 : 6881396             
04FC - 4 Bytes           E56C95C : 0                   FDD460C : 805306368           FD49EEC : 7209071             
0500 - 4 Bytes           E56C960 : 0                   FDD4610 : 331477776           FD49EF0 : 0                   
0504 - 4 Bytes           E56C964 : 0                   FDD4614 : 0                   FD49EF4 : 0                   
0508 - 4 Bytes           E56C968 : 0                   FDD4618 : 1                   FD49EF8 : 0                   
050C - 4 Bytes           E56C96C : 0                   FDD461C : 0                   FD49EFC : 0                   
0510 - 4 Bytes           E56C970 : 322906536           FDD4620 : 1574987776          FD49F00 : 331696280           
0514 - 4 Bytes           E56C974 : 0                   FDD4624 : 0                   FD49F04 : 0                   
0518 - 4 Bytes           E56C978 : 4294967295          FDD4628 : 266491200           FD49F08 : 4294967295          
051C - 4 Bytes           E56C97C : 11796480            FDD462C : 0                   FD49F0C : 11272192            
0520 - 4 Bytes           E56C980 : 0                   FDD4630 : 1                   FD49F10 : 4                   
0524 - 4 Bytes           E56C984 : 0                   FDD4634 : 0                   FD49F14 : 7471169             
0528 - 4 Bytes (Hex)     E56C988 : 00000000            FDD4638 : 00000000            FD49F18 : 00610065            
052C - 4 Bytes (Hex)     E56C98C : 00000000            FDD463C : 00000000            FD49F1C : 00000000            
0530 - Pointer           E56C990 : P->00000000         FDD4640 : P->00000048         FD49F20 : P->13C54898         
0538 - 4 Bytes           E56C998 : 0                   FDD4648 : 8388608             FD49F28 : 4294967295          
053C - 4 Bytes           E56C99C : 0                   FDD464C : 805306368           FD49F2C : 11403264            
0540 - Pointer           E56C9A0 : P->3F8000003F800000 FDD4650 : P->136E2368         FD49F30 : P->69004400000008   
0548 - Pointer           E56C9A8 : P->3F800000         FDD4658 : P->00000055         FD49F38 : P->67006F006C0061   
0550 - 4 Bytes           E56C9B0 : 322824888           FDD4660 : 266096976           FD49F40 : 6619253             
0554 - Double            E56C9B4 : 2.12199579096527E-31FDD4664 : 2.94889247735291E-23FD49F44 : 0                   
055C - 4 Bytes           E56C9BC : 12058624            FDD466C : 0                   FD49F4C : 0                   
0560 - 4 Bytes           E56C9C0 : 0                   FDD4670 : 266154256           FD49F50 : 331696280           
0564 - 4 Bytes           E56C9C4 : 0                   FDD4674 : 0                   FD49F54 : 0                   
0568 - 4 Bytes (Hex)     E56C9C8 : 00000000            FDD4678 : 0FDD4CF0            FD49F58 : FFFFFFFF            
056C - 4 Bytes (Hex)     E56C9CC : 00000000            FDD467C : 00000000            FD49F5C : 00B10000            
0570 - Pointer           E56C9D0 : P->00000000         FDD4680 : P->8FF00E7010100    FD49F60 : P->69004800000008   
0578 - 4 Bytes           E56C9D8 : 0                   FDD4688 : 201                 FD49F68 : 6815847             
057C - 4 Bytes           E56C9DC : 0                   FDD468C : 423                 FD49F6C : 7471169             
0580 - Pointer           E56C9E0 : P->133F29A8         FDD4690 : P->00000000         FD49F70 : P->00610065         
0588 - Pointer           E56C9E8 : P->BB000000000001   FDD4698 : P->00000000         FD49F78 : P->00000000         
0590 - 4 Bytes           E56C9F0 : 0                   FDD46A0 : 65537               FD49F80 : 331696280           
0594 - 4 Bytes           E56C9F4 : 0                   FDD46A4 : 2                   FD49F84 : 0                   
0598 - 4 Bytes           E56C9F8 : 0                   FDD46A8 : 1569828464          FD49F88 : 4294967295          
059C - 4 Bytes           E56C9FC : 0                   FDD46AC : 0                   FD49F8C : 11796480            
05A0 - 4 Bytes           E56CA00 : 0                   FDD46B0 : 1569829168          FD49F90 : 10                  
05A4 - 4 Bytes           E56CA04 : 0                   FDD46B4 : 0                   FD49F94 : 6881352             
05A8 - 4 Bytes (Hex)     E56CA08 : 00000000            FDD46B8 : 00000000            FD49F98 : 00680067            
05AC - 4 Bytes (Hex)     E56CA0C : 00000000            FDD46BC : FFFFFFFF            FD49F9C : 00630041            
05B0 - Pointer           E56CA10 : P->3F8000003F800000 FDD46C0 : P->100000000        FD49FA0 : P->6E006F00690074   
05B8 - 4 Bytes           E56CA18 : 1065353216          FDD46C8 : 0                   FD49FA8 : 0                   
05BC - 4 Bytes           E56CA1C : 0                   FDD46CC : 0                   FD49FAC : 0                   
05C0 - 4 Bytes           E56CA20 : 330384192           FDD46D0 : 0                   FD49FB0 : 326589032           
05C4 - 4 Bytes           E56CA24 : 0                   FDD46D4 : 1073962028          FD49FB4 : 0                   
05C8 - 4 Bytes           E56CA28 : 1                   FDD46D8 : 1                   FD49FB8 : 1                   
05CC - 4 Bytes           E56CA2C : 12517376            FDD46DC : 0                   FD49FBC : 11993088            
05D0 - 4 Bytes           E56CA30 : 14                  FDD46E0 : 0                   FD49FC0 : 1194370848          
05D4 - 4 Bytes           E56CA34 : 0                   FDD46E4 : 0                   FD49FC4 : 1                   
05D8 - 4 Bytes           E56CA38 : 240568752           FDD46E8 : 2                   FD49FC8 : 1                   
05DC - 4 Bytes           E56CA3C : 0                   FDD46EC : 0                   FD49FCC : 6                   
05E0 - 4 Bytes           E56CA40 : 240568800           FDD46F0 : 1063978427          FD49FD0 : 0                   
05E4 - 4 Bytes           E56CA44 : 0                   FDD46F4 : 3181556372          FD49FD4 : 0                   
05E8 - 4 Bytes (Hex)     E56CA48 : 00000000            FDD46F8 : BEC6DD96            FD49FD8 : 00000000            
05EC - 4 Bytes (Hex)     E56CA4C : 00000000            FDD46FC : 00000000            FD49FDC : 00000000            
05F0 - Pointer           E56CA50 : P->133DEAB8         FDD4700 : P->3F80000000000001 FD49FE0 : P->00000000         
05F8 - 4 Bytes           E56CA58 : 4294967295          FDD4708 : 0                   FD49FE8 : 0                   
05FC - 4 Bytes           E56CA5C : 12713984            FDD470C : 0                   FD49FEC : 0                   
0600 - 4 Bytes           E56CA60 : 0                   FDD4710 : 0                   FD49FF0 : 0                   
0604 - 4 Bytes           E56CA64 : 0                   FDD4714 : 0                   FD49FF4 : 0                   
0608 - 4 Bytes           E56CA68 : 0                   FDD4718 : 65536               FD49FF8 : 0                   
060C - 4 Bytes           E56CA6C : 0                   FDD471C : 0                   FD49FFC : 0                   
0610 - 4 Bytes           E56CA70 : 0                   FDD4720 : 266156912           FD4A000 : 331609584           
0614 - 4 Bytes           E56CA74 : 0                   FDD4724 : 0                   FD4A004 : 0                   
0618 - 4 Bytes           E56CA78 : 0                   FDD4728 : 266170288           FD4A008 : 4294967295          
061C - 4 Bytes           E56CA7C : 0                   FDD472C : 0                   FD4A00C : 12320768            
0620 - 4 Bytes           E56CA80 : 322906536           FDD4730 : 266161696           FD4A010 : 1199464368          
0624 - 4 Bytes           E56CA84 : 0                   FDD4734 : 0                   FD4A014 : 1                   
0628 - 4 Bytes (Hex)     E56CA88 : FFFFFFFF            FDD4738 : 0FDD4CF0            FD4A018 : 00000001            
062C - 4 Bytes (Hex)     E56CA8C : 00C50000            FDD473C : 00000000            FD4A01C : 0000000A            
0630 - Pointer           E56CA90 : P->00000000         FDD4740 : P->00000000         FD4A020 : P->0FD4A070         
0638 - 4 Bytes           E56CA98 : 0                   FDD4748 : 286823712           FD4A028 : 265592992           
063C - 4 Bytes           E56CA9C : 0                   FDD474C : 0                   FD4A02C : 0                   
0640 - Pointer           E56CAA0 : P->00000000         FDD4750 : P->0FDCD860         FD4A030 : P->0FD4A0D0         
0648 - Pointer           E56CAA8 : P->00000000         FDD4758 : P->0FDCACF0         FD4A038 : P->0FD4A100         
0650 - 4 Bytes           E56CAB0 : 1065353216          FDD4760 : 266134240           FD4A040 : 265593136           
0654 - 4 Bytes           E56CAB4 : 1065353216          FDD4764 : 0                   FD4A044 : 0                   
0658 - 4 Bytes (Hex)     E56CAB8 : 3F800000            FDD4768 : 0FDCD7D0            FD4A048 : 0FD4A160            
065C - 4 Bytes (Hex)     E56CABC : 00000000            FDD476C : 00000000            FD4A04C : 00000000            
0660 - 4 Bytes           E56CAC0 : 322824888           FDD4770 : 266132576           FD4A050 : 265593232           
0664 - 4 Bytes           E56CAC4 : 0                   FDD4774 : 0                   FD4A054 : 0                   
0668 - 4 Bytes (Hex)     E56CAC8 : 00000001            FDD4778 : 0FDC9A80            FD4A058 : 0FD4A1C0            
066C - 4 Bytes (Hex)     E56CACC : 00C90000            FDD477C : 00000000            FD4A05C : 00000000            
0670 - Pointer           E56CAD0 : P->00000000         FDD4780 : P->0FDD01D0         FD4A060 : P->0FD4A1F0         
0678 - 4 Bytes           E56CAD8 : 0                   FDD4788 : 266149920           FD4A068 : 265593376           
067C - 4 Bytes           E56CADC : 0                   FDD478C : 0                   FD4A06C : 0                   
0680 - Pointer           E56CAE0 : P->00000000         FDD4790 : P->0FDCB290         FD4A070 : P->13C54898         
0688 - Pointer           E56CAE8 : P->00000000         FDD4798 : P->0FDC6690         FD4A078 : P->C30000FFFFFFFF   
0690 - 4 Bytes           E56CAF0 : 322906536           FDD47A0 : 266149328           FD4A080 : 6                   
0694 - 4 Bytes           E56CAF4 : 0                   FDD47A4 : 0                   FD4A084 : 6357068             
0698 - 4 Bytes           E56CAF8 : 1                   FDD47A8 : 266135264           FD4A088 : 6619257             
069C - 4 Bytes           E56CAFC : 13369344            FDD47AC : 0                   FD4A08C : 3211378             
06A0 - 4 Bytes           E56CB00 : 0                   FDD47B0 : 266154256           FD4A090 : 0                   
06A4 - 4 Bytes           E56CB04 : 0                   FDD47B4 : 0                   FD4A094 : 0                   
06A8 - 4 Bytes (Hex)     E56CB08 : 00000000            FDD47B8 : 0FDD4EF0            FD4A098 : 00000000            
06AC - 4 Bytes (Hex)     E56CB0C : 00000000            FDD47BC : 00000000            FD4A09C : 00000000            
06B0 - Pointer           E56CB10 : P->00000000         FDD47C0 : P->0FDD60D0         FD4A0A0 : P->13C54898         
06B8 - 4 Bytes           E56CB18 : 0                   FDD47C8 : 266175120           FD4A0A8 : 4294967295          
06BC - 4 Bytes           E56CB1C : 0                   FDD47CC : 0                   FD4A0AC : 12976128            
06C0 - 4 Bytes           E56CB20 : 1065353216          FDD47D0 : 266174976           FD4A0B0 : 6                   
06C4 - 4 Bytes           E56CB24 : 1065353216          FDD47D4 : 0                   FD4A0B4 : 6357068             
06C8 - 4 Bytes           E56CB28 : 1065353216          FDD47D8 : 266148512           FD4A0B8 : 6619257             
06CC - 4 Bytes           E56CB2C : 0                   FDD47DC : 0                   FD4A0BC : 3276914             
06D0 - 4 Bytes           E56CB30 : 330384192           FDD47E0 : 266120624           FD4A0C0 : 0                   
06D4 - 4 Bytes           E56CB34 : 0                   FDD47E4 : 0                   FD4A0C4 : 0                   
06D8 - 4 Bytes           E56CB38 : 1                   FDD47E8 : 266113984           FD4A0C8 : 0                   
06DC - 4 Bytes           E56CB3C : 13631488            FDD47EC : 0                   FD4A0CC : 0                   
06E0 - 4 Bytes           E56CB40 : 14                  FDD47F0 : 266161200           FD4A0D0 : 331696280           
06E4 - 4 Bytes           E56CB44 : 0                   FDD47F4 : 0                   FD4A0D4 : 0                   
06E8 - 4 Bytes (Hex)     E56CB48 : 0E56CAC0            FDD47F8 : 0FDD3BB0            FD4A0D8 : FFFFFFFF            
06EC - 4 Bytes (Hex)     E56CB4C : 00000000            FDD47FC : 00000000            FD4A0DC : 00C90000            
06F0 - Pointer           E56CB50 : P->0E56CAF0         FDD4800 : P->0FDD2280         FD4A0E0 : P->61004C00000006   
06F8 - 4 Bytes           E56CB58 : 0                   FDD4808 : 1575008320          FD4A0E8 : 6619257             
06FC - 4 Bytes           E56CB5C : 0                   FDD480C : 0                   FD4A0EC : 3342450             
0700 - 4 Bytes           E56CB60 : 322824888           FDD4810 : 266157136           FD4A0F0 : 0                   
0704 - 4 Bytes           E56CB64 : 0                   FDD4814 : 0                   FD4A0F4 : 0                   
0708 - 4 Bytes           E56CB68 : 4294967295          FDD4818 : 232800064           FD4A0F8 : 0                   
070C - 4 Bytes           E56CB6C : 13828096            FDD481C : 0                   FD4A0FC : 0                   
0710 - 4 Bytes           E56CB70 : 0                   FDD4820 : 1575009184          FD4A100 : 331696280           
0714 - 4 Bytes           E56CB74 : 0                   FDD4824 : 0                   FD4A104 : 0                   
0718 - 4 Bytes           E56CB78 : 0                   FDD4828 : 266157232           FD4A108 : 4294967295          
071C - 4 Bytes           E56CB7C : 0                   FDD482C : 0                   FD4A10C : 13369344            
0720 - 4 Bytes           E56CB80 : 0                   FDD4830 : 232800096           FD4A110 : 6                   
0724 - 4 Bytes           E56CB84 : 0                   FDD4834 : 0                   FD4A114 : 6357068             
0728 - 4 Bytes (Hex)     E56CB88 : 00000000            FDD4838 : 0FDD33A0            FD4A118 : 00650079            
072C - 4 Bytes (Hex)     E56CB8C : 00000000            FDD483C : 00000000            FD4A11C : 00340072            
0730 - Pointer           E56CB90 : P->133F29A8         FDD4840 : P->212B7464465C6E1  FD4A120 : P->00000000         
0738 - 4 Bytes           E56CB98 : 4294967295          FDD4848 : 287351350           FD4A128 : 0                   
073C - 4 Bytes           E56CB9C : 14024704            FDD484C : 2613307856          FD4A12C : 0                   
0740 - Pointer           E56CBA0 : P->00000000         FDD4850 : P->4D3FF8F0627F3CAC FD4A130 : P->13C54898         
0748 - Pointer           E56CBA8 : P->00000000         FDD4858 : P->FE11F97BBDD695A9 FD4A138 : P->CF0000FFFFFFFF   
0750 - Pointer           E56CBB0 : P->00000000         FDD4860 : P->0000000F         FD4A140 : P->61004C00000006   
0758 - Pointer           E56CBB8 : P->00000000         FDD4868 : P->00000000         FD4A148 : P->35007200650079   
0760 - 4 Bytes (Hex)     E56CBC0 : 3F800000            FDD4870 : C1C71F9A            FD4A150 : 00000000            
0764 - 4 Bytes           E56CBC4 : 1065353216          FDD4874 : 3232251127          FD4A154 : 0                   
0768 - 4 Bytes           E56CBC8 : 1065353216          FDD4878 : 1043270695          FD4A158 : 0                   
076C - 4 Bytes           E56CBCC : 0                   FDD487C : 0                   FD4A15C : 0                   
0770 - 4 Bytes           E56CBD0 : 330384192           FDD4880 : 1575010048          FD4A160 : 331696280           
0774 - 4 Bytes           E56CBD4 : 0                   FDD4884 : 0                   FD4A164 : 0                   
0778 - 4 Bytes           E56CBD8 : 4294967295          FDD4888 : 266157328           FD4A168 : 4294967295          
077C - 4 Bytes           E56CBDC : 14286848            FDD488C : 0                   FD4A16C : 13762560            
0780 - Pointer           E56CBE0 : P->0000000E         FDD4890 : P->0FDD22C0         FD4A170 : P->61004C00000006   
0788 - 4 Bytes           E56CBE8 : 240569344           FDD4898 : 221044672           FD4A178 : 6619257             
078C - 4 Bytes           E56CBEC : 0                   FDD489C : 0                   FD4A17C : 3539058             
0790 - Byte              E56CBF0 : 48                  FDD48A0 : 144                 FD4A180 : 0                   
0791 - Byte              E56CBF1 : 204                 FDD48A1 : 62                  FD4A181 : 0                   
0792 - Byte              E56CBF2 : 86                  FDD48A2 : 221                 FD4A182 : 0                   
0793 - Byte              E56CBF3 : 14                  FDD48A3 : 15                  FD4A183 : 0                   
0794 - 4 Bytes           E56CBF4 : 0                   FDD48A4 : 0                   FD4A184 : 0                   
0798 - Byte              E56CBF8 : 0                   FDD48A8 : 1                   FD4A188 : 0                   
0799 - Byte              E56CBF9 : 0                   FDD48A9 : 0                   FD4A189 : 0                   
079A - Byte              E56CBFA : 0                   FDD48AA : 0                   FD4A18A : 0                   
079B - Byte              E56CBFB : 0                   FDD48AB : 0                   FD4A18B : 0                   
079C - 4 Bytes           E56CBFC : 0                   FDD48AC : 16777473            FD4A18C : 0                   
07A0 - Byte              E56CC00 : 184                 FDD48B0 : 1                   FD4A190 : 152                 
07A1 - Byte              E56CC01 : 234                 FDD48B1 : 0                   FD4A191 : 72                  
07A2 - Byte              E56CC02 : 61                  FDD48B2 : 0                   FD4A192 : 197                 
07A3 - Byte              E56CC03 : 19                  FDD48B3 : 0                   FD4A193 : 19                  
07A4 - 4 Bytes           E56CC04 : 0                   FDD48B4 : 1065353216          FD4A194 : 0                   
07A8 - String            E56CC08 : ÿÿÿÿ                FDD48B8 :                     FD4A198 : ÿÿÿÿ                
07AD - Byte              E56CC0D : 0                   FDD48BD : 0                   FD4A19D : 0                   
07AE - Byte              E56CC0E : 221                 FDD48BE : 0                   FD4A19E : 213                 
07AF - Byte              E56CC0F : 0                   FDD48BF : 0                   FD4A19F : 0                   
07B0 - Byte              E56CC10 : 0                   FDD48C0 : 0                   FD4A1A0 : 6                   
07B1 - Byte              E56CC11 : 0                   FDD48C1 : 0                   FD4A1A1 : 0                   
07B2 - Byte              E56CC12 : 0                   FDD48C2 : 128                 FD4A1A2 : 0                   
07B3 - Byte              E56CC13 : 0                   FDD48C3 : 63                  FD4A1A3 : 0                   
07B4 - 4 Bytes           E56CC14 : 0                   FDD48C4 : 1065353216          FD4A1A4 : 6357068             
07B8 - Pointer           E56CC18 : P->00000000         FDD48C8 : P->4183A9CA3F800000 FD4A1A8 : P->37007200650079   
07C0 - Pointer           E56CC20 : P->00000000         FDD48D0 : P->1113F620         FD4A1B0 : P->00000000         
07C8 - 4 Bytes           E56CC28 : 0                   FDD48D8 : 266167776           FD4A1B8 : 0                   
07CC - 4 Bytes           E56CC2C : 0                   FDD48DC : 0                   FD4A1BC : 0                   
07D0 - Pointer           E56CC30 : P->133F29A8         FDD48E0 : P->0FDD4030         FD4A1C0 : P->13C54898         
07D8 - 4 Bytes           E56CC38 : 4294967295          FDD48E8 : 0                   FD4A1C8 : 4294967295          
07DC - 4 Bytes           E56CC3C : 14680064            FDD48EC : 65536               FD4A1CC : 14155776            
07E0 - 4 Bytes           E56CC40 : 0                   FDD48F0 : 1072444705          FD4A1D0 : 6                   
07E4 - 4 Bytes           E56CC44 : 0                   FDD48F4 : 0                   FD4A1D4 : 6357068             
07E8 - 4 Bytes           E56CC48 : 0                   FDD48F8 : 266158144           FD4A1D8 : 6619257             
07EC - 4 Bytes           E56CC4C : 0                   FDD48FC : 0                   FD4A1DC : 3670130             
07F0 - Pointer           E56CC50 : P->00000000         FDD4900 : P->0F613100         FD4A1E0 : P->00000000         
07F8 - Pointer           E56CC58 : P->00000000         FDD4908 : P->0F613150         FD4A1E8 : P->00000000         
0800 - Pointer           E56CC60 : P->3F8000003F800000 FDD4910 : P->0F6131A0         FD4A1F0 : P->13C54898         
0808 - Pointer           E56CC68 : P->3F800000         FDD4918 : P->0F6131F0         FD4A1F8 : P->DB0000FFFFFFFF   
0810 - Pointer           E56CC70 : P->13B14340         FDD4920 : P->0F613240         FD4A200 : P->61004C00000006   
0818 - Pointer           E56CC78 : P->E40000FFFFFFFF   FDD4928 : P->0F613290         FD4A208 : P->39007200650079   
0820 - Pointer           E56CC80 : P->0000000E         FDD4930 : P->0F6137C0         FD4A210 : P->00000000         
0828 - Pointer           E56CC88 : P->0E56CCA0         FDD4938 : P->0F613810         FD4A218 : P->00000000         
0830 - Pointer           E56CC90 : P->0E56CCD0         FDD4940 : P->0F6132E0         FD4A220 : P->13C54898         
0838 - Pointer           E56CC98 : P->00000000         FDD4948 : P->0F614050         FD4A228 : P->DE0000FFFFFFFF   
0840 - Pointer           E56CCA0 : P->133DEAB8         FDD4950 : P->0FDD39B0         FD4A230 : P->61004C00000007   
0848 - 4 Bytes           E56CCA8 : 4294967295          FDD4958 : 266156560           FD4A238 : 6619257             
084C - 4 Bytes           E56CCAC : 15138816            FDD495C : 0                   FD4A23C : 3211378             
0850 - 4 Bytes           E56CCB0 : 0                   FDD4960 : 266156624           FD4A240 : 48                  
0854 - 4 Bytes           E56CCB4 : 0                   FDD4964 : 0                   FD4A244 : 0                   
0858 - Pointer           E56CCB8 : P->00000000         FDD4968 : P->10DA7C90         FD4A248 : P->00000000         
0860 - Pointer           E56CCC0 : P->00000000         FDD4970 : P->200000000        FD4A250 : P->13775A68         
0868 - 4 Bytes           E56CCC8 : 0                   FDD4978 : 4                   FD4A258 : 1                   
086C - 4 Bytes           E56CCCC : 0                   FDD497C : 0                   FD4A25C : 14745600            
0870 - 4 Bytes           E56CCD0 : 322906536           FDD4980 : 266161104           FD4A260 : 1194370848          
0874 - 4 Bytes           E56CCD4 : 0                   FDD4984 : 0                   FD4A264 : 1                   
0878 - 4 Bytes           E56CCD8 : 4294967295          FDD4988 : 791637816           FD4A268 : 1                   
087C - 4 Bytes           E56CCDC : 15335424            FDD498C : 150526333           FD4A26C : 10                  
0880 - 4 Bytes           E56CCE0 : 0                   FDD4990 : 4049898803          FD4A270 : 0                   
0884 - 4 Bytes           E56CCE4 : 0                   FDD4994 : 1188154815          FD4A274 : 0                   
0888 - 4 Bytes           E56CCE8 : 0                   FDD4998 : 2                   FD4A278 : 0                   
088C - 4 Bytes           E56CCEC : 0                   FDD499C : 0                   FD4A27C : 0                   
0890 - Pointer           E56CCF0 : P->00000000         FDD49A0 : P->0FDD3AB0         FD4A280 : P->00000000         
0898 - 4 Bytes           E56CCF8 : 0                   FDD49A8 : 0                   FD4A288 : 0                   
089C - 4 Bytes           E56CCFC : 0                   FDD49AC : 0                   FD4A28C : 0                   
08A0 - 4 Bytes           E56CD00 : 1065353216          FDD49B0 : 266156736           FD4A290 : 0                   
08A4 - 4 Bytes           E56CD04 : 1065353216          FDD49B4 : 0                   FD4A294 : 0                   
08A8 - 4 Bytes           E56CD08 : 1065353216          FDD49B8 : 266156832           FD4A298 : 0                   
08AC - 4 Bytes           E56CD0C : 0                   FDD49BC : 0                   FD4A29C : 0                   
08B0 - 4 Bytes           E56CD10 : 330384192           FDD49C0 : 266180720           FD4A2A0 : 0                   
08B4 - 4 Bytes           E56CD14 : 0                   FDD49C4 : 0                   FD4A2A4 : 0                   
08B8 - Pointer           E56CD18 : P->EE0000FFFFFFFF   FDD49C8 : P->102B5560         FD4A2A8 : P->00000000         
08C0 - 4 Bytes           E56CD20 : 14                  FDD49D0 : 258033296           FD4A2B0 : 0                   
08C4 - 4 Bytes           E56CD24 : 0                   FDD49D4 : 0                   FD4A2B4 : 0                   
08C8 - 4 Bytes           E56CD28 : 240569664           FDD49D8 : 258033376           FD4A2B8 : 0                   
08CC - 4 Bytes           E56CD2C : 0                   FDD49DC : 0                   FD4A2BC : 0                   
08D0 - Pointer           E56CD30 : P->0E56CD70         FDD49E0 : P->00000000         FD4A2C0 : P->1335A350         
08D8 - 4 Bytes           E56CD38 : 0                   FDD49E8 : 266140624           FD4A2C8 : 1                   
08DC - Float             E56CD3C : 0                   FDD49EC : 0                   FD4A2CC : 2.130583511E-38     
08E0 - Double            E56CD40 : 1.59496686783348E-31FDD49F0 : 1.31504196050562E-31FD4A2D0 : 0                   
08E8 - Float             E56CD48 : Nan                 FDD49F8 : 2.183477334E-29     FD4A2D8 : 0                   
08EC - 4 Bytes           E56CD4C : 15794176            FDD49FC : 0                   FD4A2DC : 1                   
08F0 - 4 Bytes           E56CD50 : 0                   FDD4A00 : 240545328           FD4A2E0 : 330140064           
08F4 - 4 Bytes           E56CD54 : 0                   FDD4A04 : 0                   FD4A2E4 : 0                   
08F8 - 4 Bytes           E56CD58 : 0                   FDD4A08 : 286520704           FD4A2E8 : 1                   
08FC - 4 Bytes           E56CD5C : 0                   FDD4A0C : 0                   FD4A2EC : 15335424            
0900 - 4 Bytes           E56CD60 : 0                   FDD4A10 : 46875568            FD4A2F0 : 0                   
0904 - 4 Bytes           E56CD64 : 0                   FDD4A14 : 0                   FD4A2F4 : 0                   
0908 - 4 Bytes           E56CD68 : 0                   FDD4A18 : 266154256           FD4A2F8 : 0                   
090C - 4 Bytes           E56CD6C : 0                   FDD4A1C : 0                   FD4A2FC : 0                   
0910 - 4 Bytes           E56CD70 : 322906536           FDD4A20 : 266170288           FD4A300 : 0                   
0914 - 4 Bytes           E56CD74 : 0                   FDD4A24 : 0                   FD4A304 : 0                   
0918 - Pointer           E56CD78 : P->F40000FFFFFFFF   FDD4A28 : P->00000000         FD4A308 : P->00000000         
0920 - Pointer           E56CD80 : P->00000000         FDD4A30 : P->3F99999A3F99999A FD4A310 : P->00000000         
0928 - Pointer           E56CD88 : P->00000000         FDD4A38 : P->3F99999A         FD4A318 : P->00000000         
0930 - Pointer           E56CD90 : P->00000000         FDD4A40 : P->0FDD4AD0         FD4A320 : P->00000000         
0938 - 4 Bytes           E56CD98 : 0                   FDD4A48 : 1575010752          FD4A328 : 0                   
093C - 4 Bytes           E56CD9C : 0                   FDD4A4C : 0                   FD4A32C : 0                   
0940 - Double            E56CDA0 : 0.00781250184809323 FDD4A50 : 1.31500298860747E-31FD4A330 : 0                   
0948 - 4 Bytes           E56CDA8 : 1065353216          FDD4A58 : 266159632           FD4A338 : 0                   
094C - 4 Bytes           E56CDAC : 0                   FDD4A5C : 0                   FD4A33C : 0                   
0950 - 4 Bytes           E56CDB0 : 330384192           FDD4A60 : 229388704           FD4A340 : 0                   
0954 - 4 Bytes           E56CDB4 : 0                   FDD4A64 : 0                   FD4A344 : 0                   
0958 - 4 Bytes           E56CDB8 : 4294967295          FDD4A68 : 266156448           FD4A348 : 0                   
095C - Double            E56CDBC : 2.97159710868829E-31FDD4A6C : 2.91604100676822E-23FD4A34C : 1.64722096562435E-215
0964 - 4 Bytes           E56CDC4 : 0                   FDD4A74 : 0                   FD4A354 : 0                   
0968 - 4 Bytes           E56CDC8 : 240569824           FDD4A78 : 258033936           FD4A358 : 1                   
096C - 4 Bytes           E56CDCC : 0                   FDD4A7C : 0                   FD4A35C : 15794176            
0970 - Double            E56CDD0 : 1.18859174771505E-31FDD4A80 : 1.27485742764051E-31FD4A360 : 2.71323073447308E-314
0978 - 4 Bytes           E56CDD8 : 0                   FDD4A88 : 258034096           FD4A368 : 1                   
097C - 4 Bytes           E56CDDC : 0                   FDD4A8C : 0                   FD4A36C : 2                   
0980 - 4 Bytes           E56CDE0 : 322824888           FDD4A90 : 258034176           FD4A370 : 268220880           
0984 - Double            E56CDE4 : Nan                 FDD4A94 : 1.36006424270489E-23FD4A374 : 1.15600811329841E-231
098C - 4 Bytes           E56CDEC : 16449536            FDD4A9C : 0                   FD4A37C : 0                   
0990 - 4 Bytes           E56CDF0 : 0                   FDD4AA0 : 258034816           FD4A380 : 323985592           
0994 - 4 Bytes           E56CDF4 : 0                   FDD4AA4 : 0                   FD4A384 : 0                   
0998 - Double            E56CDF8 : 0                   FDD4AA8 : 1.27486217067071E-31FD4A388 : 4.55695126222275E-304
09A0 - 4 Bytes           E56CE00 : 0                   FDD4AB0 : 258034416           FD4A390 : 1195745568          
09A4 - 4 Bytes           E56CE04 : 0                   FDD4AB4 : 0                   FD4A394 : 1                   
09A8 - 4 Bytes           E56CE08 : 0                   FDD4AB8 : 258034896           FD4A398 : 1                   
09AC - 4 Bytes           E56CE0C : 0                   FDD4ABC : 0                   FD4A39C : 2                   
09B0 - 4 Bytes           E56CE10 : 8                   FDD4AC0 : 4                   FD4A3A0 : 287000928           
09B4 - 4 Bytes           E56CE14 : 0                   FDD4AC4 : 0                   FD4A3A4 : 0                   
09B8 - 4 Bytes           E56CE18 : 8388608             FDD4AC8 : 411041792           FD4A3A8 : 287005648           
09BC - 4 Bytes           E56CE1C : 805306368           FDD4ACC : 805306368           FD4A3AC : 0                   
09C0 - 4 Bytes           E56CE20 : 328701768           FDD4AD0 : 331763656           FD4A3B0 : 323985592           
09C4 - 4 Bytes           E56CE24 : 0                   FDD4AD4 : 0                   FD4A3B4 : 0                   
09C8 - 4 Bytes           E56CE28 : 1                   FDD4AD8 : 1                   FD4A3B8 : 1                   
09CC - 4 Bytes           E56CE2C : 0                   FDD4ADC : 0                   FD4A3BC : 16187392            
09D0 - Pointer           E56CE30 : P->00000000         FDD4AE0 : P->00000000         FD4A3C0 : P->14745A120        
